row,col,lat,lon,elev
18,18,12.994,80.204,14.2
18,19,12.994,80.212,13.6
18,20,12.994,80.22,13.0
18,21,12.994,80.228,12.4
18,22,12.994,80.236,11.8
18,23,12.994,80.244,11.2
18,24,12.994,80.252,10.6
18,25,12.994,80.26,10.0
18,26,12.994,80.268,9.4
18,27,12.994,80.276,8.8
18,28,12.994,80.284,8.2
18,29,12.994,80.292,7.6
18,30,12.994,80.3,7.0
18,31,12.994,80.308,6.4
18,32,12.994,80.316,5.8
19,0,13.002,80.06,25.0
19,1,13.002,80.068,24.4
19,2,13.002,80.076,23.8
19,3,13.002,80.084,23.2
19,4,13.002,80.092,22.6
19,5,13.002,80.1,22.0
19,6,13.002,80.108,21.4
19,7,13.002,80.116,20.8
19,8,13.002,80.124,20.2
19,9,13.002,80.132,19.6
19,10,13.002,80.14,19.0
19,11,13.002,80.148,18.4
19,12,13.002,80.156,17.8
19,13,13.002,80.164,17.2
19,14,13.002,80.172,16.6
19,15,13.002,80.18,16.0
19,16,13.002,80.188,15.4
19,17,13.002,80.196,14.8
19,18,13.002,80.204,14.2
19,19,13.002,80.212,13.6
19,20,13.002,80.22,13.0
19,21,13.002,80.228,12.4
19,22,13.002,80.236,11.8
19,23,13.002,80.244,11.2
19,24,13.002,80.252,10.6
19,25,13.002,80.26,10.0
19,26,13.002,80.268,9.4
19,27,13.002,80.276,8.8
19,28,13.002,80.284,8.2
19,29,13.002,80.292,7.6
19,30,13.002,80.3,7.0
19,31,13.002,80.308,6.4
19,32,13.002,80.316,5.8
20,0,13.01,80.06,25.0
20,1,13.01,80.068,24.4
20,2,13.01,80.076,23.8
20,3,13.01,80.084,23.2
20,4,13.01,80.092,22.6
20,5,13.01,80.1,22.0
20,6,13.01,80.108,21.4
20,7,13.01,80.116,20.8
20,8,13.01,80.124,20.2
20,9,13.01,80.132,19.6
20,10,13.01,80.14,19.0
20,11,13.01,80.148,18.4
20,12,13.01,80.156,17.8
20,13,13.01,80.164,17.2
20,14,13.01,80.172,16.6
20,15,13.01,80.18,16.0
20,16,13.01,80.188,15.4
20,17,13.01,80.196,14.8
20,18,13.01,80.204,14.2
20,19,13.01,80.212,13.6
20,20,13.01,80.22,13.0
20,21,13.01,80.228,12.4
20,22,13.01,80.236,11.8
20,23,13.01,80.244,11.2
20,24,13.01,80.252,10.6
20,25,13.01,80.26,10.0
20,26,13.01,80.268,9.4
20,27,13.01,80.276,8.8
20,28,13.01,80.284,8.2
20,29,13.01,80.292,7.6
20,30,13.01,80.3,7.0
20,31,13.01,80.308,6.4
20,32,13.01,80.316,5.8
21,0,13.018,80.06,25.0
21,1,13.018,80.068,24.4
21,2,13.018,80.076,23.8
21,3,13.018,80.084,23.2
21,4,13.018,80.092,22.6
21,5,13.018,80.1,22.0
21,6,13.018,80.108,21.4
21,7,13.018,80.116,20.8
21,8,13.018,80.124,20.2
21,9,13.018,80.132,19.6
21,10,13.018,80.14,19.0
21,11,13.018,80.148,18.4
21,12,13.018,80.156,17.8
21,13,13.018,80.164,17.2
21,14,13.018,80.172,16.6
21,15,13.018,80.18,16.0
21,16,13.018,80.188,15.4
21,17,13.018,80.196,14.8
21,18,13.018,80.204,14.2
21,19,13.018,80.212,13.6
21,20,13.018,80.22,13.0
21,21,13.018,80.228,12.4
21,22,13.018,80.236,11.8
21,23,13.018,80.244,11.2
21,24,13.018,80.252,10.6
21,25,13.018,80.26,10.0
21,26,13.018,80.268,9.4
21,27,13.018,80.276,8.8
21,28,13.018,80.284,8.2
21,29,13.018,80.292,7.6
21,30,13.018,80.3,7.0
21,31,13.018,80.308,6.4
21,32,13.018,80.316,5.8
22,0,13.026,80.06,25.0
22,1,13.026,80.068,24.4
22,2,13.026,80.076,23.8
22,3,13.026,80.084,23.2
22,4,13.026,80.092,22.6
22,5,13.026,80.1,22.0
22,6,13.026,80.108,21.4
22,7,13.026,80.116,20.8
22,8,13.026,80.124,20.2
22,9,13.026,80.132,19.6
22,10,13.026,80.14,19.0
22,11,13.026,80.148,18.4
22,12,13.026,80.156,17.8
22,13,13.026,80.164,17.2
22,14,13.026,80.172,16.6
22,15,13.026,80.18,16.0
22,16,13.026,80.188,15.4
22,17,13.026,80.196,14.8
22,18,13.026,80.204,14.2
22,19,13.026,80.212,13.6
22,20,13.026,80.22,13.0
22,21,13.026,80.228,12.4
22,22,13.026,80.236,11.8
22,23,13.026,80.244,11.2
22,24,13.026,80.252,10.6
22,25,13.026,80.26,10.0
22,26,13.026,80.268,9.4
22,27,13.026,80.276,8.8
22,28,13.026,80.284,8.2
22,29,13.026,80.292,7.6
22,30,13.026,80.3,7.0
22,31,13.026,80.308,6.4
22,32,13.026,80.316,5.8
23,0,13.034,80.06,25.0
23,1,13.034,80.068,24.4
23,2,13.034,80.076,23.8
23,3,13.034,80.084,23.2
23,4,13.034,80.092,22.6
23,5,13.034,80.1,22.0
23,6,13.034,80.108,21.4
23,7,13.034,80.116,20.8
23,8,13.034,80.124,20.2
23,9,13.034,80.132,19.6
23,10,13.034,80.14,19.0
23,11,13.034,80.148,18.4
23,12,13.034,80.156,17.8
23,13,13.034,80.164,17.2
23,14,13.034,80.172,16.6
23,15,13.034,80.18,16.0
