row,col,lat,lon,elevation_m,flow_accumulation_cells,catchment_km2,twi,slope_deg
10,18,12.93,80.204,14.0,1.0,0.7522,11.39,0.561
10,19,12.93,80.212,6.0,1.0,0.7522,11.92,0.33
10,20,12.93,80.22,1.0,2.0,1.5044,14.37,0.05
10,21,12.93,80.228,2.0,3.0,2.2565,14.63,0.066
10,22,12.93,80.236,7.0,1.0,0.7522,11.92,0.33
10,23,12.93,80.244,2.0,4.0,3.0087,14.92,0.066
10,24,12.93,80.252,8.0,1.0,0.7522,11.45,0.528
10,25,12.93,80.26,0.0,2.0,1.5044,14.37,0.05
10,26,12.93,80.268,0.0,3.0,2.2565,14.77,0.05
10,27,12.93,80.276,0.0,4.0,3.0087,15.06,0.05
10,28,12.93,80.284,0.0,5.0,3.7609,15.28,0.05
10,29,12.93,80.292,0.0,6.0,4.5131,15.46,0.05
10,30,12.93,80.3,0.0,7.0,5.2652,15.62,0.05
10,31,12.93,80.308,0.0,8.0,6.0174,15.75,0.05
10,32,12.93,80.316,0.0,9.0,6.7696,15.87,0.05
11,0,12.938,80.06,17.0,3.0,2.2565,14.77,0.05
11,1,12.938,80.068,19.0,4.0,3.0087,13.82,0.198
11,2,12.938,80.076,16.0,5.0,3.7609,15.28,0.047
11,3,12.938,80.084,16.0,1.0,0.7522,13.53,0.066
11,4,12.938,80.092,15.0,2.0,1.5044,14.37,0.05
11,5,12.938,80.1,20.0,2.0,1.5044,12.61,0.33
11,6,12.938,80.108,75.0,1.0,0.7522,9.52,3.629
11,7,12.938,80.116,27.0,4.0,3.0087,13.47,0.28
11,8,12.938,80.124,38.0,1.0,0.7522,11.13,0.727
11,9,12.938,80.132,33.0,1.0,0.7522,11.92,0.33
11,10,12.938,80.14,29.0,1.0,0.7522,11.68,0.42
11,11,12.938,80.148,28.0,1.0,0.7522,11.31,0.607
11,12,12.938,80.156,21.0,1.0,0.7522,11.33,0.595
11,13,12.938,80.164,12.0,13.0,9.7783,16.24,0.047
11,14,12.938,80.172,12.0,2.0,1.5044,12.96,0.234
11,15,12.938,80.18,15.0,1.0,0.7522,11.45,0.528
11,16,12.938,80.188,15.0,1.0,0.7522,11.45,0.528
11,17,12.938,80.196,7.0,9.0,6.7696,14.46,0.234
11,18,12.938,80.204,8.0,1.0,0.7522,11.74,0.396
11,19,12.938,80.212,7.0,1.0,0.7522,11.92,0.33
11,20,12.938,80.22,2.0,2.0,1.5044,14.22,0.066
11,21,12.938,80.228,1.0,6.0,4.5131,15.46,0.05
11,22,12.938,80.236,9.0,1.0,0.7522,11.45,0.528
11,23,12.938,80.244,3.0,2.0,1.5044,14.22,0.066
11,24,12.938,80.252,7.0,1.0,0.7522,11.59,0.462
11,25,12.938,80.26,0.0,3.0,2.2565,14.77,0.05
11,26,12.938,80.268,0.0,4.0,3.0087,15.06,0.05
11,27,12.938,80.276,0.0,5.0,3.7609,15.28,0.05
11,28,12.938,80.284,0.0,6.0,4.5131,15.46,0.05
11,29,12.938,80.292,0.0,7.0,5.2652,15.62,0.05
11,30,12.938,80.3,0.0,8.0,6.0174,15.75,0.05
11,31,12.938,80.308,0.0,9.0,6.7696,15.87,0.05
11,32,12.938,80.316,0.0,10.0,7.5218,15.98,0.05
12,0,12.946,80.06,22.0,2.0,1.5044,12.61,0.33
12,1,12.946,80.068,38.0,1.0,0.7522,10.54,1.321
12,2,12.946,80.076,18.0,2.0,1.5044,13.12,0.198
12,3,12.946,80.084,15.0,11.0,8.2739,16.07,0.05
12,4,12.946,80.092,15.0,14.0,10.5305,16.31,0.05
12,5,12.946,80.1,16.0,1.0,0.7522,13.53,0.066
12,6,12.946,80.108,21.0,5.0,3.7609,13.35,0.396
12,7,12.946,80.116,27.0,1.0,0.7522,11.39,0.561
12,8,12.946,80.124,30.0,1.0,0.7522,10.97,0.859
12,9,12.946,80.132,28.0,2.0,1.5044,12.17,0.514
12,10,12.946,80.14,32.0,1.0,0.7522,11.74,0.396
12,11,12.946,80.148,26.0,2.0,1.5044,12.37,0.42
12,12,12.946,80.156,20.0,1.0,0.7522,11.8,0.374
12,13,12.946,80.164,16.0,1.0,0.7522,11.92,0.33
12,14,12.946,80.172,11.0,25.0,18.8044,15.36,0.264
12,15,12.946,80.18,7.0,36.0,27.0783,17.26,0.05
12,16,12.946,80.188,7.0,37.0,27.8305,17.28,0.047
12,17,12.946,80.196,12.0,1.0,0.7522,11.23,0.661
12,18,12.946,80.204,2.0,54.0,40.6175,17.66,0.05
12,19,12.946,80.212,7.0,55.0,41.3697,15.75,0.396
12,20,12.946,80.22,1.0,58.0,43.6262,17.73,0.05
