water_body_id,osm_id,osm_type,name,category,water_type,latitude,longitude,city
wb-way-385065003,385065003,way,Unnamed Pond (wb-way-385065003),pond,pond,13.090519,80.059239,Chennai
wb-way-385065004,385065004,way,Unnamed Pond (wb-way-385065004),pond,pond,13.089492,80.06076,Chennai
wb-way-385065005,385065005,way,Unnamed Pond (wb-way-385065005),pond,pond,13.089288,80.062619,Chennai
wb-way-385065006,385065006,way,Unnamed Pond (wb-way-385065006),pond,pond,13.089872,80.063186,Chennai
wb-way-385083618,385083618,way,Unnamed Pond (wb-way-385083618),pond,pond,12.888465,80.06533,Chennai
wb-way-385083619,385083619,way,Unnamed Pond (wb-way-385083619),pond,pond,12.889212,80.065312,Chennai
wb-way-385096915,385096915,way,Unnamed Pond (wb-way-385096915),pond,pond,12.86859,80.069804,Chennai
wb-way-385096939,385096939,way,Unnamed Pond (wb-way-385096939),pond,pond,12.863664,80.075014,Chennai
wb-way-385098284,385098284,way,Unnamed Pond (wb-way-385098284),pond,pond,12.859284,80.07267,Chennai
wb-way-385101997,385101997,way,Unnamed Pond (wb-way-385101997),pond,pond,12.865533,80.080989,Chennai
wb-way-385137493,385137493,way,Unnamed Pond (wb-way-385137493),pond,pond,13.218066,80.161411,Chennai
wb-way-385143212,385143212,way,Unnamed Wetland (wb-way-385143212),wetland,wetland,13.178358,80.113955,Chennai
wb-way-385175925,385175925,way,Unnamed Pond (wb-way-385175925),pond,pond,13.193561,80.095305,Chennai
wb-way-385229043,385229043,way,Unnamed Pond (wb-way-385229043),pond,pond,13.187895,80.103909,Chennai
wb-way-385243947,385243947,way,Unnamed Pond (wb-way-385243947),pond,pond,13.099053,80.12412,Chennai
wb-way-385243948,385243948,way,Unnamed Wetland (wb-way-385243948),wetland,wetland,13.096589,80.125244,Chennai
wb-way-385261394,385261394,way,Unnamed Pond (wb-way-385261394),pond,pond,13.195707,80.192049,Chennai
wb-way-385262522,385262522,way,Unnamed Reservoir (wb-way-385262522),reservoir,reservoir,13.16217,80.080824,Chennai
wb-way-385262523,385262523,way,Unnamed Reservoir (wb-way-385262523),reservoir,reservoir,13.161474,80.081791,Chennai
wb-way-385263776,385263776,way,Unnamed Wetland (wb-way-385263776),wetland,wetland,13.193742,80.188251,Chennai
wb-way-385273227,385273227,way,Unnamed Pond (wb-way-385273227),pond,pond,13.186621,80.188455,Chennai
wb-way-385273428,385273428,way,Unnamed Pond (wb-way-385273428),pond,pond,13.154608,80.07283,Chennai
wb-way-385277686,385277686,way,Unnamed Pond (wb-way-385277686),pond,pond,13.172256,80.073778,Chennai
wb-way-385277919,385277919,way,Unnamed Pond (wb-way-385277919),pond,pond,13.190197,80.199422,Chennai
wb-way-385287761,385287761,way,Unnamed Pond (wb-way-385287761),pond,pond,13.193124,80.205701,Chennai
wb-way-385367114,385367114,way,Unnamed Pond (wb-way-385367114),pond,pond,13.085102,80.075399,Chennai
wb-way-385367115,385367115,way,Unnamed Wetland (wb-way-385367115),wetland,wetland,13.085596,80.072616,Chennai
